Recipient_ID;Frequency;Demand;Pattern;Pattern_clear
997;2;3069;0;[1, 0, 1, 0, 0]
1106;4;4014;0;[0, 1, 1, 1, 1]
1137;3;475;2;[1, 1, 0, 1, 0]
1168;1;2148;1;[0, 1, 0, 0, 0]
1222;3;821;2;[1, 1, 0, 1, 0]
1263;2;4383;3;[1, 0, 0, 1, 0]
1269;4;2983;2;[1, 1, 0, 1, 1]
1273;3;3282;0;[0, 1, 0, 1, 1]
1274;3;995;3;[0, 1, 1, 0, 1]
1281;5;4879;0;[1, 1, 1, 1, 1]
1284;5;7816;0;[1, 1, 1, 1, 1]
1292;3;1015;4;[1, 0, 1, 1, 0]
1293;4;1804;0;[0, 1, 1, 1, 1]
1297;3;2198;4;[1, 0, 1, 1, 0]
1307;4;1799;0;[0, 1, 1, 1, 1]
1329;3;1152;1;[1, 0, 1, 0, 1]
1334;5;8420;0;[1, 1, 1, 1, 1]
1337;4;6720;3;[1, 1, 1, 0, 1]
1397;4;2231;1;[1, 0, 1, 1, 1]
